"","Chrom","ID","n.assoc","START","END","Potra_Gene_ID","num_SNPs","Gene_Length","mean_alleleFreq","Functional_Description","Potri_Gene_ID","Percent_ID","Alignment_Length","Mismatches","Gap_Openings","Query_Start","Query_End","Subject_Start","Subject_End","Expected_Value","Bit_Score","AT_Gene_ID","Percent_ID.1","Alignment_Length.1","Mismatches.1","Gap_Openings.1","Query_Start.1","Query_End.1","Subject_Start.1","Subject_End.1","Expected_Value.1","Bit_Score.1","GO_ID","GO_Description"
"130","Potra000490","Potra000490:171371",2,90426,92807,"Potra000490g03083.1",6,2381,0.263,"DOMAIN ABA-RELATED","Potri|006G004600.1",100,167,0,0,1,167,1,167,2e-119,338,"Artha|AT5G47710",77.16,162,37,0,1,162,1,162,4e-93,271,"GO:0005515","protein binding"
"131","Potra000490","Potra000490:171371",2,133760,136297,"Potra000490g03091.1",8,2537,0.225,"uncharacterized protein LOC105109369","Potri|006G005600.1",96.52,201,7,0,1,201,1,201,1e-143,403,"Artha|AT5G47635",47.01,134,71,4,45,178,28,157,9e-36,125,"NA ",""
"132","Potra000490","Potra000490:171371",2,44081,46385,"Potra000490g03076.1",12,2304,0.176,"box domain-containing protein","Potri|006G003900.1",93.03,287,20,2,1,285,1,287,0,545,"Artha|AT5G47740",45.61,228,124,11,61,284,21,241,1e-65,209,"GO:0006950","response to stress"
"133","Potra000490","Potra000490:171371",2,16761,21247,"Potra000490g03071.1",12,4486,0.218,"Farnesyl pyrophosphate synthase","Potri|006G003400.1",81.39,403,75,61,1,403,1,342,0,645,"Artha|AT4G17190",66,403,137,61,1,403,1,342,0,531,"GO:0008299","isoprenoid biosynthetic process"
"134","Potra000490","Potra000490:171371",2,120800,123385,"Potra000490g03088.1",6,2585,0.147,"Trihelix transcription factor","Potri|006G005300.1",96.26,294,11,0,1,294,1,294,0,545,"Artha|AT5G47660",35.97,253,162,55,1,199,1,252,5e-24,100,"NA ",""
"135","Potra000490","Potra000490:171371",2,144100,148184,"Potra000490g03093.1",7,4084,0.232,"AMP-activated protein kinase subunit","Potri|006G005800.1",98.63,293,4,0,1,293,1,293,0,594,"Artha|AT4G16360",76.25,261,62,5,34,293,5,261,3e-144,410,"GO:0005515","protein binding"
"136","Potra000490","Potra000490:171371",2,125960,130406,"Potra000490g03089.1",12,4446,0.219,"diphosphate-linked moiety X motif","Potri|006G005400.1",96.81,345,11,0,1,345,1,345,0,689,"Artha|AT5G47650",61.63,258,99,2,77,334,19,274,1e-121,355,"GO:0016787","hydrolase activity"
"137","Potra000490","Potra000490:171371",2,150287,155105,"Potra000490g03094.1",4,4818,0.206,"plasma membrane-type","Potri|006G005900.1",98.62,944,13,0,1,944,1,944,0,1905,"Artha|AT3G42640",86.21,943,130,2,2,944,8,948,0,1659,"GO:0016887","ATPase activity"
"138","Potra000503","Potra000503:112971",2,118536,121812,"Potra000503g03268.1",2,3276,0.065,"membrane protein YuiD","Potri|014G156000.1",93.42,228,15,0,1,228,1,228,4e-128,365,"Artha|AT3G21610",55.31,226,101,55,2,227,3,173,1e-77,234,"NA ",""
"139","Potra000503","Potra000503:112971",2,49696,52021,"Potra000503g03261.1",2,2325,0.312,"threonine protein phosphatase 2A","Potri|014G157000.1",98.31,415,7,0,1,415,1,415,0,850,"Artha|AT3G21650",75.59,426,104,16,1,415,1,421,0,646,"GO:0000159","protein phosphatase type 2A complex"
"140","Potra000503","Potra000503:112971",2,159426,168444,"Potra000503g03272.1",6,9018,0.235,"differentiation protein RCD1","Potri|014G155500.1",96.53,317,11,1,1,317,1,316,0,625,"Artha|AT5G12980",57.04,277,119,9,22,298,29,296,3e-96,290,"NA ",""
"141","Potra000503","Potra000503:112971",2,30905,37804,"Potra000503g03260.1",4,6899,0.17,"Chromatin remodeling protein","Potri|014G157100.1",98.61,216,3,0,1,216,1,216,2e-160,446,"Artha|AT4G22140",80.18,217,43,8,1,209,1,217,3e-130,370,"GO:0003682","chromatin binding"
"142","Potra000503","Potra000503:112971",2,145892,155239,"Potra000503g03271.1",7,9347,0.185,"protein LOC105141651 isoform X1","Potri|014G155600.1",99.47,187,1,0,1,187,1,187,2e-137,386,"Artha|AT2G32580",65.38,182,63,3,4,185,3,181,3e-82,245,"NA ",""
"143","Potra000503","Potra000503:112971",2,10859,13063,"Potra000503g03259.1",16,2204,0.205,"NSFL1 cofactor p47","Potri|014G157200.1",94.19,413,24,5,1,413,1,408,0,663,"Artha|AT4G15410",48.24,427,221,41,17,413,6,421,6e-114,343,"GO:0005515","protein binding"
"144","Potra000503","Potra000503:112971",2,55811,57636,"Potra000503g03262.1",10,1825,0.213,"uncharacterized protein LOC104424737 isoform","Potri|014G156900.1",97.16,141,4,0,1,141,1,141,7e-101,289,"Artha|AT2G32650",68.09,141,45,3,1,140,1,139,1e-66,201,"NA ",""
"145","Potra000503","Potra000503:112971",2,58978,68511,"Potra000503g03263.1",6,9533,0.115,"epsilon cyclase protein","Potri|014G156800.1",98.98,587,6,0,1,587,1,587,0,1186,"Artha|AT2G32640",70.19,587,175,2,1,587,1,585,0,823,NA,NA
"146","Potra000503","Potra000503:112971",2,107981,117571,"Potra000503g03267.1",8,9590,0.137,"CSC1-like protein","Potri|014G156100.1",98,751,15,0,1,751,1,751,0,1519,"Artha|AT3G21620",78.31,747,162,5,1,743,1,746,0,1191,"GO:0016020","membrane"
"147","Potra000503","Potra000503:112971",2,174290,180093,"Potra000503g03273.1",9,5803,0.193,"Cellulose synthase-like","Potri|014G155300.1",93.44,747,49,1,1,747,1,746,0,1458,"Artha|AT2G32540",48.76,765,392,34,1,744,1,752,0,700,"GO:0016020","membrane"
"148","Potra000503","Potra000503:112971",2,68544,70192,"Potra000503g03264.1",28,1648,0.257,"uncharacterized protein LOC105141643","Potri|014G156700.1",97.65,255,6,0,1,255,1,255,0,506,"Artha|AT1G05060",69.26,257,79,8,1,253,1,253,3e-120,347,"NA ",""
"149","Potra000503","Potra000503:112971",2,136349,140881,"Potra000503g03270.1",12,4532,0.196,"Allene oxide synthase","Potri|014G155800.1",97.35,491,13,0,1,491,1,491,0,988,"Artha|AT4G15440",61.1,383,149,4,111,489,1,383,2e-175,502,"GO:0055114","oxidation-reduction process"
"150","Potra000503","Potra000503:112971",2,50578,55992,"Potra000503g35151.1",4,5414,0.149,"threonine protein phosphatase 2A","Potri|014G157000.1",98.79,412,5,0,1,412,1,412,0,848,"Artha|AT3G21650",75.89,423,102,16,1,412,1,418,0,643,"GO:0000159","protein phosphatase type 2A complex"
"151","Potra000503","Potra000503:112971",2,88982,95769,"Potra000503g03265.1",3,6787,0.072,"Chitin elicitor receptor kinase 1","Potri|014G156400.1",84.62,338,52,34,1,338,1,304,0,550,"Artha|AT3G21630",48.43,351,181,11,10,351,12,360,4e-97,304,"NA ",""
"152","Potra000503","Potra000503:112971",2,98633,102433,"Potra000503g03266.1",3,3800,0.091,"degradation protein 1","Potri|014G156300.1",98.21,502,9,0,1,502,66,567,0,1034,"Artha|AT4G15420",68.44,507,160,17,1,502,66,560,0,728,"GO:0006511","ubiquitin-dependent protein catabolic process"
"153","Potra000503","Potra000503:112971",2,2888,6638,"Potra000503g03256.1",23,3750,0.255,"Protein NRT1/ PTR","Potri|014G157500.1",98.64,587,8,0,1,587,1,587,0,1194,"Artha|AT3G21670",73.55,586,155,20,3,570,4,587,0,850,"GO:0005215","transporter activity"
"154","Potra000503","Potra000503:112971",2,124602,131487,"Potra000503g03269.1",8,6885,0.219,"complex subunit 2","Potri|014G155900.1",98.17,655,12,0,1,655,1,655,0,1338,"Artha|AT2G32590",61.26,666,258,27,7,653,13,670,0,751,"GO:0000796","condensin complex"
"155","Potra000506","Potra000506:28872",2,27971,34565,"Potra000506g03293.1",14,6594,0.216,"Peptidyl-tRNA hydrolase","Potri|001G117500.1",95.98,174,7,0,1,174,1,174,6e-123,350,"Artha|AT1G62850",60.42,192,76,27,1,174,1,183,1e-70,217,"GO:0003747","translation release factor activity"
"156","Potra000506","Potra000506:28872",2,42833,47163,"Potra000506g03296.1",10,4330,0.233,"receptor-like serine/threonine","Potri|001G117800.1",97.36,682,18,0,2,683,1,682,0,1347,"Artha|AT4G22730",63.9,687,248,15,2,677,1,683,0,870,"GO:0004672","protein kinase activity"
"157","Potra000506","Potra000506:28872",2,10174,16901,"Potra000506g03291.1",3,6727,0.343,"Putative cullin-like protein","Potri|001G117200.1",98.51,737,11,0,1,737,1,737,0,1518,"Artha|AT4G02570",81.95,737,133,2,3,737,2,738,0,1279,"GO:0006511","ubiquitin-dependent protein catabolic process"
"158","Potra000506","Potra000506:28872",2,38178,41661,"Potra000506g03295.1",4,3483,0.06,"Putative transferase CAF17","Potri|001G117700.1",97.96,392,8,0,1,392,1,392,0,790,"Artha|AT4G12130",61.89,391,149,12,4,392,13,393,2e-175,498,"NA ",""
"159","Potra000506","Potra000506:28872",2,64059,71445,"Potra000506g03298.1",12,7386,0.271,"lipase/thioesterase family protein","Potri|001G118000.1",97.61,418,10,0,1,418,1,418,0,844,"Artha|AT4G12230",70.82,401,117,14,1,397,1,391,0,553,"NA ",""
"160","Potra000506","Potra000506:28872",2,2479,6893,"Potra000506g03290.1",8,4414,0.261,"protein S-acyltransferase","Potri|001G117100.1",95.48,310,14,6,1,310,1,304,0,607,"Artha|AT3G60800",72.22,306,85,7,1,306,8,306,4e-155,440,"GO:0008270","zinc ion binding"
"161","Potra000506","Potra000506:28872",2,53892,56346,"Potra000506g03297.1",5,2454,0.239,"Probable calcium-binding","Potri|001G117900.1",100,147,0,0,1,147,1,147,3e-104,298,"Artha|AT1G12310",89.19,148,16,1,1,147,1,148,2e-91,266,"GO:0005509","calcium ion binding"
"162","Potra000506","Potra000506:28872",2,34512,35675,"Potra000506g03294.1",1,1163,0.437,"uncharacterized protein LOC105128929","Potri|001G117600.1",98.62,217,3,0,1,217,1,217,5e-153,428,"Artha|AT3G60780",53.85,221,102,7,1,217,1,218,1e-76,233,"NA ",""
"163","Potra000506","Potra000506:28872",2,23842,27221,"Potra000506g03292.1",5,3379,0.204,"uncharacterized protein LOC105132232","Potri|001G117400.1",95.79,380,16,6,1,380,1,374,0,735,"Artha|AT4G22740",46.86,318,169,77,29,312,45,319,4e-78,248,"NA ",""
"164","Potra000506","Potra000506:28872",2,34512,35673,"Potra000506g35668.1",1,1161,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Potra000508","Potra000508:193671",2,280171,281414,"Potra000508g03344.1",12,1243,0.103,"Matrix metalloproteinase-20","Potri|008G027600.1",97.08,308,9,0,1,308,1,308,0,620,"Artha|AT1G24140",40.34,295,176,24,31,307,41,329,3e-67,218,"GO:0008237","metallopeptidase activity"
"166","Potra000508","Potra000508:193671",2,191972,195047,"Potra000508g03333.1",20,3075,0.203,"ATP-dependent RNA","Potri|008G026500.1",90.1,101,10,0,19,119,1,101,6e-57,180,"Artha|AT2G28600",52.94,68,32,0,48,115,242,309,5e-16,74.3,NA,NA
"167","Potra000508","Potra000508:193671",2,260663,272083,"Potra000508g03342.1",2,11420,0.084,"of pyruvate dehydrogenase complex","Potri|008G027400.1",94.59,647,35,27,1,637,1,630,0,1219,"Artha|AT3G52200",70.04,554,166,12,96,637,160,713,0,750,"GO:0008152","metabolic process"
"168","Potra000508","Potra000508:193671",2,109594,112003,"Potra000508g03324.1",11,2409,0.244,"Cytochrome P450 77A3","Potri|008G025500.1",98.44,514,8,0,1,514,67,580,0,1054,"Artha|AT5G04660",71.46,515,147,9,3,514,4,512,0,759,"GO:0055114","oxidation-reduction process"
"169","Potra000508","Potra000508:193671",2,82113,86176,"Potra000508g03321.1",11,4063,0.26,"uncharacterized protein LOC105131506 isoform","Potri|008G025000.1",94.65,673,36,0,95,767,12,684,0,1275,"Artha|AT3G52240",32.89,596,400,100,96,651,13,548,6e-65,230,NA,NA
"170","Potra000508","Potra000508:193671",2,119330,122455,"Potra000508g03325.1",18,3125,0.177,"Trihelix transcription factor","Potri|008G025600.1",98.95,571,6,0,1,571,1,571,0,1185,"Artha|AT5G03680",41.19,624,367,98,3,564,4,591,3e-120,371,"NA ",""
"171","Potra000508","Potra000508:193671",2,224563,227649,"Potra000508g03338.1",1,3086,0.141,"uncharacterized protein LOC8263586","Potri|008G027000.1",89.42,501,53,42,1,461,1,499,0,905,"Artha|AT3G10030",61.46,397,153,23,76,459,153,539,3e-161,471,"NA ",""
"172","Potra000508","Potra000508:193671",2,34705,38251,"Potra000508g03313.1",11,3546,0.158,"IQ domain-containing protein","Potri|008G023900.1",97.33,449,12,2,1,447,1,449,0,901,"Artha|AT3G52870",62.66,399,149,11,28,421,49,441,1e-180,516,NA,NA
"173","Potra000508","Potra000508:193671",2,50040,51747,"Potra000508g03316.1",24,1707,0.193,NA,"Potri|008G024200.1",91.49,47,4,0,1,47,11,57,2e-16,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Potra000508","Potra000508:193671",2,90118,91182,"Potra000508g03322.1",7,1064,0.236,"uncharacterized protein LOC105131505","Potri|008G025100.1",92.58,229,17,0,1,229,1,229,4e-123,353,"Artha|AT2G38790",36.36,154,98,23,84,215,27,179,6e-18,79.3,NA,NA
"175","Potra000508","Potra000508:193671",2,43821,48916,"Potra000508g03315.1",2,5095,0.201,"Alkaline/neutral invertase","Potri|008G024100.1",98.64,663,9,0,1,663,1,663,0,1360,"Artha|AT5G22510",66.82,672,223,64,1,663,1,617,0,909,"GO:0033926","glycopeptide alpha-N-acetylgalactosaminidase activity"
"176","Potra000508","Potra000508:193671",2,172886,175469,"Potra000508g03330.1",3,2583,0.226,"domain-containing protein","Potri|008G026100.1",98.5,267,4,0,1,267,1,267,0,545,"Artha|AT3G57810",64.89,94,33,0,174,267,166,259,2e-40,144,"NA ",""
"177","Potra000508","Potra000508:193671",2,196324,198998,"Potra000508g03334.1",18,2674,0.171,"Lysine histidine transporter","Potri|008G026600.1",97.16,457,13,1,1,456,1,457,0,895,"Artha|AT1G08230",60.49,448,177,2,11,456,4,451,0,555,"NA ",""
"178","Potra000508","Potra000508:193671",2,131193,139399,"Potra000508g03327.1",1,8206,0.09,"threonine-protein kinase","Potri|008G025800.1",98.32,654,11,0,1,654,1,654,0,1326,"Artha|AT5G03730",56.38,674,294,59,15,648,162,816,0,698,"GO:0004672","protein kinase activity"
"179","Potra000508","Potra000508:193671",2,157221,158295,"Potra000508g03329.1",1,1074,0.104,NA,"Potri|008G026000.1",68.97,87,27,3,1,85,15,100,4e-34,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Potra000508","Potra000508:193671",2,207709,211300,"Potra000508g03336.1",7,3591,0.213,"uncharacterized protein LOC105125502 isoform","Potri|008G026800.1",98,600,12,0,1,600,1,600,0,1219,"Artha|AT5G04550",58.88,608,250,19,1,599,1,598,0,689,"NA ",""
"181","Potra000508","Potra000508:193671",2,53250,59591,"Potra000508g03317.1",9,6341,0.228,"uncharacterized protein LOC105131514","Potri|008G024300.1",95.38,779,36,9,1,778,1,771,0,1501,"Artha|AT5G04670",44.11,807,451,76,1,774,1,764,6e-180,538,"NA ",""
"182","Potra000508","Potra000508:193671",2,102710,106593,"Potra000508g03323.1",5,3883,0.219,"H2 finger protein","Potri|008G025300.1",94.29,210,12,0,1,210,1,210,1e-139,397,"Artha|AT4G40070",38.84,121,74,10,18,130,51,169,1e-19,86.3,"GO:0005515","protein binding"
"183","Potra000508","Potra000508:193671",2,146875,157129,"Potra000508g03328.1",5,10254,0.091,"DEMETER-like protein","Potri|008G025900.1",96.21,1792,68,8,52,1839,2,1789,0,3587,"Artha|AT5G04560",52.92,1181,556,70,670,1835,861,1986,0,1100,"GO:0006284","base-excision repair"
"184","Potra000508","Potra000508:193671",2,69554,76033,"Potra000508g03319.1",25,6479,0.281,"Host cell factor","Potri|008G024700.1",98.18,494,9,0,1,494,1,494,0,995,"Artha|AT2G36360",66.93,514,170,27,1,491,1,510,0,676,"GO:0005515","protein binding"
"185","Potra000508","Potra000508:193671",2,232029,244093,"Potra000508g03339.1",2,12064,0.26,"Pyruvate kinase 2, cytosolic","Potri|008G027100.1",96.96,526,16,0,1,526,1,526,0,1056,"Artha|AT3G52990",80.31,523,103,0,4,526,5,527,0,890,"GO:0030955","potassium ion binding"
"186","Potra000508","Potra000508:193671",2,176509,179488,"Potra000508g03331.1",3,2979,0.275,"Cytochrome P450 714C2","Potri|008G026200.1",96.68,512,17,0,3,514,4,515,0,1024,"Artha|AT5G24910",45.37,518,283,16,6,507,8,525,1e-171,499,"GO:0055114","oxidation-reduction process"
"187","Potra000508","Potra000508:193671",2,32964,34350,"Potra000508g03312.1",5,1386,0.104,"Copper transport protein","Potri|010G236500.1",96.39,83,3,0,46,128,3,85,2e-51,161,"Artha|AT1G66240",69.89,93,28,0,27,119,14,106,2e-38,128,"GO:0030001","metal ion transport"
"188","Potra000508","Potra000508:193671",2,213435,225846,"Potra000508g03337.1",10,12411,0.176,"3-phosphatase myotubularin","Potri|008G026900.1",97.02,840,25,1,1,839,20,859,0,1683,"Artha|AT3G10550",66.67,834,278,20,1,833,24,838,0,1140,"NA ",""
"189","Potra000508","Potra000508:193671",2,200885,203461,"Potra000508g03335.1",12,2576,0.298,"Lysine histidine transporter","Potri|008G026700.1",94.32,458,26,0,1,458,1,458,0,889,"Artha|AT1G08230",57.56,443,188,2,18,458,9,451,0,520,"NA ",""
"190","Potra000508","Potra000508:193671",2,181721,185243,"Potra000508g03332.1",3,3522,0.328,"Probable mannan synthase","Potri|008G026400.1",97.74,530,12,0,1,530,1,530,0,1078,"Artha|AT5G03760",79.02,529,111,2,2,529,5,532,0,891,"NA ",""
"191","Potra000518","Potra000518:21707",2,110490,115567,"Potra000518g03456.1",3,5077,0.263,"Acyl-protein thioesterase","Potri|006G251100.1",92.61,257,19,6,1,251,1,257,6e-174,484,"Artha|AT5G20060",68.9,254,79,8,1,248,1,252,6e-127,364,"GO:0016787","hydrolase activity"
"192","Potra000518","Potra000518:21707",2,60676,63195,"Potra000518g35013.1",8,2519,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Potra000518","Potra000518:21707",2,142684,146596,"Potra000518g03461.1",10,3912,0.165,"Protein OVEREXPRESSOR OF CATIONIC","Potri|006G251700.1",94.91,334,17,0,17,350,17,350,0,565,"Artha|AT5G11270",63.64,176,64,4,159,331,178,352,3e-67,219,"GO:0003677","DNA binding"
"194","Potra000518","Potra000518:21707",2,9301,16109,"Potra000518g03443.1",7,6808,0.137,"1-deoxy-D-xylulose-5-phosphate synthase","Potri|006G249700.1",98.05,718,14,0,1,718,1,718,0,1456,"Artha|AT5G11380",67.22,720,236,24,1,717,1,699,0,994,"GO:0016114","terpenoid biosynthetic process"
"195","Potra000518","Potra000518:21707",2,60676,63358,"Potra000518g03448.1",8,2682,0.134,"Coatomer subunit beta","Potri|006G250200.1",96.1,308,12,0,1,308,78,385,0,629,"Artha|AT3G15980",70,300,90,0,1,300,1,300,8e-156,463,"GO:0005515","protein binding"
"196","Potra000518","Potra000518:21707",2,71784,75058,"Potra000518g03450.1",5,3274,0.087,"binding nuclear protein","Potri|006G250400.1",100,173,0,0,1,173,1,173,2e-129,366,"Artha|AT5G55190",100,173,0,0,1,173,1,173,6e-130,367,"GO:0006886","intracellular protein transport"
"197","Potra000518","Potra000518:21707",2,57204,60835,"Potra000518g03447.1",9,3631,0.234,"uncharacterized protein LOC105122382","Potri|006G250100.1",96.99,366,11,1,1,366,1,365,0,734,"Artha|AT5G11420",74.45,364,93,0,1,364,1,364,0,596,"NA ",""
"198","Potra000518","Potra000518:21707",2,17958,22538,"Potra000518g03444.1",16,4580,0.139,"Probable boron transporter","Potri|006G249800.1",98.63,659,9,0,1,659,1,659,0,1339,"Artha|AT1G15460",69,671,208,16,1,662,6,669,0,957,"GO:0006820","anion transport"
"199","Potra000518","Potra000518:21707",2,104676,106746,"Potra000518g03455.1",20,2070,0.15,"box domain-containing protein","Potri|006G251000.1",87.04,355,46,34,1,355,1,321,0,612,"Artha|AT2G23140",26.86,242,177,5,122,363,546,782,7e-11,63.5,NA,NA
"200","Potra000518","Potra000518:21707",2,66652,69812,"Potra000518g03449.1",5,3160,0.259,"binding nuclear protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Potra000518","Potra000518:21707",2,96376,104410,"Potra000518g03454.1",3,8034,0.066,"Peptidyl-prolyl cis-trans","Potri|006G250900.1",96.02,829,33,17,1,816,1,825,0,1479,"Artha|AT4G32420",59.16,524,214,35,7,515,4,507,5e-127,404,"GO:0000413","protein peptidyl-prolyl isomerization"
"202","Potra000518","Potra000518:21707",2,40416,45259,"Potra000518g03446.1",4,4843,0.356,"Cytochrome b-c1 complex subunit 7","Potri|018G031400.1",91.92,99,8,0,1,99,1,99,2e-63,191,"Artha|AT5G25450",78.79,99,21,0,1,99,1,99,5e-54,167,"GO:0005750","mitochondrial respiratory chain complex III"
"203","Potra000518","Potra000518:21707",2,1869,2934,"Potra000518g03441.1",13,1065,0.18,"like domain containing protein","Potri|006G249500.1",95.71,140,6,0,1,140,1,140,7e-83,243,"Artha|AT4G30380",32.84,134,90,16,6,137,2,121,1e-12,61.2,"NA ",""
"204","Potra000518","Potra000518:21707",2,6074,8665,"Potra000518g03442.1",8,2591,0.204,"Proteasome maturation protein","Potri|006G249600.1",99.29,140,1,0,1,140,1,140,3e-99,285,"Artha|AT1G67250",65.25,141,49,1,1,140,1,141,8e-62,189,"NA ",""
"205","Potra000518","Potra000518:21707",2,71832,79377,"Potra000518g03451.1",7,7545,0.079,"uncharacterized protein LOC105122390","Potri|006G250600.1",92.27,414,32,17,1,414,1,397,0,782,"Artha|AT4G32440",42.72,405,232,47,1,400,1,363,2e-84,266,"NA ",""
"206","Potra000518","Potra000518:21707",2,139394,141762,"Potra000518g03460.1",24,2368,0.174,"uncharacterized protein LOC105122397","Potri|006G251600.1",98.64,220,3,0,1,220,1,220,1e-157,439,"Artha|AT5G11280",73.85,195,51,0,17,211,6,200,2e-110,319,"NA ",""
"207","Potra000518","Potra000518:21707",2,81175,84288,"Potra000518g03452.1",9,3113,0.063,"repeat-containing protein","Potri|006G250700.1",98.44,577,9,0,230,806,1,577,0,1183,"Artha|AT3G54980",45.36,840,459,55,9,799,10,843,0,718,"NA ",""
"208","Potra000518","Potra000518:21707",2,24459,30337,"Potra000518g03445.1",9,5878,0.148,"Potassium channel AKT1","Potri|006G249900.1",98.66,897,12,0,3,899,1,897,0,1833,"Artha|AT2G25600",64.22,858,307,14,42,893,35,884,0,1123,"GO:0016020","membrane"
"209","Potra000518","Potra000518:21707",2,134391,136625,"Potra000518g03459.1",12,2234,0.114,"uncharacterized protein LOC105136178","Potri|006G251400.1",98.12,426,8,0,1,426,1,426,0,867,"Artha|AT5G25500",50.47,428,212,18,4,426,6,420,3e-136,401,NA,NA
"210","Potra000518","Potra000518:21707",2,86006,94300,"Potra000518g03453.1",11,8294,0.144,"tRNA (cytosine(38)-C(5))-methyltransferase","Potri|006G250800.1",98.25,343,6,0,1,343,1,343,0,709,"Artha|AT5G25480",69.33,375,115,6,12,384,11,381,0,533,"GO:0008168","methyltransferase activity"
"211","Potra000531","Potra000531:148041",2,207656,210031,"Potra000531g03704.1",5,2375,0.185,"methionine sulfoxide reductase","Potri|008G198600.1",88.44,147,17,14,1,133,1,147,1e-91,266,"Artha|AT4G04830",82.11,123,22,0,7,129,8,130,1e-73,219,"GO:0033743","peptide-methionine (R)-S-oxide reductase activity"
"212","Potra000531","Potra000531:148041",2,251450,253577,"Potra000531g03706.1",1,2127,0.051,"S-adenosylmethionine decarboxylase proenzyme","Potri|008G198800.1",100,341,0,0,38,378,1,341,0,713,"Artha|AT5G18930",67.05,352,116,16,38,378,1,347,2e-161,460,"GO:0004014","adenosylmethionine decarboxylase activity"
"213","Potra000531","Potra000531:148041",2,198,1930,"Potra000531g03686.1",6,1732,0.205,"Shikimate dehydrogenase (NADP(+))","Potri|008G196100.1",89.02,82,9,5,4,80,121,202,2e-43,146,"Artha|AT3G06350",71.19,59,17,3,4,59,378,436,1e-23,95.1,"GO:0004764","shikimate 3-dehydrogenase (NADP+) activity"
"214","Potra000531","Potra000531:148041",2,191857,194359,"Potra000531g03701.1",1,2502,0.08,"tRNA/rRNA methyltransferase","Potri|008G198200.1",99.07,216,2,0,1,216,1,216,2e-158,441,"Artha|AT4G15520",78.44,218,47,5,4,216,5,222,7e-120,343,"GO:0003723","RNA binding"
"215","Potra000531","Potra000531:148041",2,72695,75105,"Potra000531g03692.1",1,2410,0.109,"Inorganic pyrophosphatase 2","Potri|008G196800.1",98.19,277,5,0,1,277,1,277,0,565,"Artha|AT1G17710",73.83,256,67,2,5,258,7,262,4e-144,410,"GO:0008152","metabolic process"
"216","Potra000531","Potra000531:148041",2,162662,166144,"Potra000531g03698.1",7,3482,0.116,"Prolyl 4-hydroxylase","Potri|008G197700.1",98.33,300,5,0,1,300,1,300,0,615,"Artha|AT5G18900",77.61,268,60,0,33,300,31,298,6e-161,454,"GO:0031418","L-ascorbic acid binding"
"217","Potra000531","Potra000531:148041",2,84158,91812,"Potra000531g03693.1",4,7654,0.247,"Squamosa promoter-binding-like protein","Potri|008G197000.1",96.47,794,28,2,1,793,1,793,0,1598,"Artha|AT5G18830",49.81,803,403,56,20,786,12,794,0,746,"GO:0003677","DNA binding"
"218","Potra000531","Potra000531:148041",2,157357,159289,"Potra000531g03697.1",1,1932,0.052,"containing phosphotransfer protein","Potri|008G197600.1",99.35,155,1,0,1,155,1,155,2e-109,312,"Artha|AT3G21510",66.23,154,52,1,1,154,1,153,6e-64,196,"GO:0000160","phosphorelay signal transduction system"
"219","Potra000531","Potra000531:148041",2,188471,191761,"Potra000531g03700.1",7,3290,0.234,"Endonuclease/exonuclease/phosphatase family","Potri|008G198100.1",96.75,493,16,0,1,493,1,493,0,988,"Artha|AT3G21530",57.32,492,210,41,1,491,1,452,4e-176,507,"NA ",""
"220","Potra000531","Potra000531:148041",2,145070,157886,"Potra000531g03696.1",16,12816,0.17,"Non-specific ribonucleoside","Potri|008G197400.1",96.12,901,35,18,1,901,1,883,0,1788,"Artha|AT5G18860",65.78,903,309,26,6,901,7,890,0,1209,"NA ",""
"221","Potra000531","Potra000531:148041",2,236809,241855,"Potra000531g03705.1",2,5046,0.192,"Protein phosphatase 2C","Potri|008G198700.1",95.51,423,19,0,1,423,1,423,0,813,"Artha|AT3G06270",71.59,352,100,6,1,351,1,347,0,518,"GO:0003824","catalytic activity"
"222","Potra000531","Potra000531:148041",2,207584,209575,"Potra000531g03703.1",1,1991,0.119,"uncharacterized protein LOC105112180","Potri|008G198500.1",97.5,80,2,0,1,80,1,80,4e-52,160,"Artha|AT5G18920",80.77,52,10,0,22,73,22,73,3e-25,91.7,NA,NA
"223","Potra000531","Potra000531:148041",2,40852,45582,"Potra000531g03689.1",2,4730,0.186,"1-deoxy-D-xylulose-5-phosphate synthase","Potri|008G196500.1",99.72,721,2,0,1,721,1,721,0,1483,"Artha|AT4G15560",83.4,717,119,2,1,716,1,716,0,1234,"GO:0016114","terpenoid biosynthetic process"
"224","Potra000531","Potra000531:148041",2,12276,20265,"Potra000531g03688.1",5,7989,0.131,"E3 ubiquitin-protein ligase","Potri|008G196400.1",94.88,430,22,8,1,430,1,422,0,833,"Artha|AT3G06330",56.36,385,168,14,42,420,46,422,1e-137,405,"GO:0008270","zinc ion binding"
